ringen,negative
gehen,negative
gleich,positive
mehr,positive
gut,positive
halten,negative
essen,negative
fall,negative
leicht,positive
fallen,negative
tun,negative
sag,negative
gemein,negative
eigen,positive
lieb,positive
voll,negative
ehren,positive
rauchen,negative
ziehen,negative
reich,positive
erste,positive
eng,negative
wenig,negative
rein,positive
weit,positive
mögen,positive
schwer,negative
wahr,positive
würdig,positive
fangen,negative
stellen,negative
weise,positive
menschlich,positive
fehlen,negative
vollkommen,positive
heilen,positive
liebe,positive
gering,negative
verstehen,positive
gern,positive
reif,positive
liegen,negative
allgemein,negative
sicher,positive
schön,positive
handeln,positive
führen,positive
jung,positive
fast,positive
lieben,positive
arm,negative
klein,negative
lächerlich,negative
reden,negative
hoch,positive
schlecht,negative
angenehm,positive
groß,positive
dicht,negative
leiden,negative
roh,negative
erfahren,positive
genau,positive
möglich,positive
schuldig,negative
beweisen,positive
weh,negative
sichern,positive
klug,positive
versichern,positive
folgend,positive
brechen,negative
beste,positive
fein,positive
genug,positive
ding,negative
fällen,negative
bitten,negative
heilig,positive
richtig,positive
fürchten,negative
wünschen,positive
verdienen,positive
ganz,positive
sterben,negative
glücklich,positive
edel,positive
deutlich,positive
kurz,positive
öffentlich,positive
reifen,positive
bekennen,negative
heiß,positive
bekannt,positive
weich,positive
ordentlich,positive
billigen,positive
wahren,positive
unbekannt,negative
wagen,positive
