angreifen,negative
unwirksam,negative
besänftigen,positive
stören,negative
erstaunlich,positive
vorgeben,negative
starke,positive
unerlaubt,negative
glänzend,positive
ärgerlich,negative
blasen,negative
langwierig,negative
bekräftigen,positive
einräumen,negative
verzogen,negative
unbeständig,negative
freundschaftlich,positive
entwerfen,negative
ansprechen,positive
eifersüchtig,negative
untergraben,negative
bestätigen,positive
unbeliebt,negative
dünn,negative
mittelmäßig,negative
aufziehen,negative
beschimpfen,negative
verfehlen,negative
unsichtbar,negative
schmutzig,negative
durcheinander,negative
schütteln,negative
unzufrieden,negative
mangelhaft,negative
kläglich,negative
misstrauisch,negative
unempfindlich,negative
untersagen,negative
ohnmächtig,negative
aufräumen,positive
lehnen,positive
merklich,positive
sicherlich,positive
aufmerksam,positive
leise,positive
ausgelassen,positive
entfliehen,negative
tapfer,positive
gesellig,positive
unrein,negative
unerwartet,negative
helfen,positive
unhöflich,negative
übersehen,negative
überschreiten,positive
triumphieren,positive
verschlagen,negative
schwarz,negative
unmittelbar,positive
lindern,positive
dauerhaft,positive
veraltet,negative
willkommen,positive
veranlassen,positive
anstößig,negative
kämpfen,negative
besiegen,positive
übertreffen,positive
geneigt,negative
ersticken,negative
strecken,positive
beklagen,negative
unwahrscheinlich,negative
beruhigen,positive
zugestehen,negative
einstellen,negative
froh,positive
entbehren,negative
niederschlagen,negative
abhalten,negative
leider,negative
gleichgültig,negative
anrichten,negative
verfallen,negative
vorziehen,positive
abbrechen,negative
undeutlich,negative
abweichen,negative
ähnlich,positive
belohnen,positive
übersteigen,positive
beschäftigen,negative
unvollkommen,negative
abziehen,negative
leuchten,positive
bestrafen,negative
reichlich,positive
siegen,positive
höchste,positive
vertreiben,negative
